manufacturer,model,serial number,manufactured_date,device_type,manufactured_date_source,manufactured_date_confidence,manufactured_date_precision,manufactured_date_explanation,device_type_source,device_type_confidence,device_type_explanation
Hillrom,CENTURY,12M1281998,1998-12-01,Hospital Bed,hillrom_legacy_serial_parser,high,month,Decoded legacy Hillrom serial using leading month 12 and trailing year 1998.,openai_generated_model_type_map,high,Hillrom Century is a hospital bed family.
Hillrom,CENTURY,12M0591998,1998-12-01,Hospital Bed,hillrom_legacy_serial_parser,high,month,Decoded legacy Hillrom serial using leading month 12 and trailing year 1998.,openai_generated_model_type_map,high,Hillrom Century is a hospital bed family.
Hillrom,PCENTURYK3256,12M0551998,1998-12-01,Hospital Bed,hillrom_legacy_serial_parser,high,month,Decoded legacy Hillrom serial using leading month 12 and trailing year 1998.,openai_generated_model_type_map,high,Hillrom P Century K3256 is a hospital bed variant.
Hillrom,CENTURY,12M0561998,1998-12-01,Hospital Bed,hillrom_legacy_serial_parser,high,month,Decoded legacy Hillrom serial using leading month 12 and trailing year 1998.,openai_generated_model_type_map,high,Hillrom Century is a hospital bed family.
Hillrom,CENTURY,12M1101998,1998-12-01,Hospital Bed,hillrom_legacy_serial_parser,high,month,Decoded legacy Hillrom serial using leading month 12 and trailing year 1998.,openai_generated_model_type_map,high,Hillrom Century is a hospital bed family.
Hillrom,CENTURY,02R2981999,1999-02-01,Hospital Bed,hillrom_legacy_serial_parser,high,month,Decoded legacy Hillrom serial using leading month 02 and trailing year 1999.,openai_generated_model_type_map,high,Hillrom Century is a hospital bed family.
Hillrom,CENTURY,02R3141999,1999-02-01,Hospital Bed,hillrom_legacy_serial_parser,high,month,Decoded legacy Hillrom serial using leading month 02 and trailing year 1999.,openai_generated_model_type_map,high,Hillrom Century is a hospital bed family.
Hillrom,PCENTURYK3256,02R3391999,1999-02-01,Hospital Bed,hillrom_legacy_serial_parser,high,month,Decoded legacy Hillrom serial using leading month 02 and trailing year 1999.,openai_generated_model_type_map,high,Hillrom P Century K3256 is a hospital bed variant.
Hillrom,CENTURY,02R3241999,1999-02-01,Hospital Bed,hillrom_legacy_serial_parser,high,month,Decoded legacy Hillrom serial using leading month 02 and trailing year 1999.,openai_generated_model_type_map,high,Hillrom Century is a hospital bed family.
Hillrom,CENTURY,02R3631999,1999-02-01,Hospital Bed,hillrom_legacy_serial_parser,high,month,Decoded legacy Hillrom serial using leading month 02 and trailing year 1999.,openai_generated_model_type_map,high,Hillrom Century is a hospital bed family.
Hillrom,CENTURYP1400,10L9791999,1999-10-01,Hospital Bed,hillrom_legacy_serial_parser,high,month,Decoded legacy Hillrom serial using leading month 10 and trailing year 1999.,openai_generated_model_type_map,high,Hillrom Century P1400 is a hospital bed variant.
Hillrom,CENTURYP1400,10L7601999,1999-10-01,Hospital Bed,hillrom_legacy_serial_parser,high,month,Decoded legacy Hillrom serial using leading month 10 and trailing year 1999.,openai_generated_model_type_map,high,Hillrom Century P1400 is a hospital bed variant.
Hillrom,CENTURYP1400,10L2981999,1999-10-01,Hospital Bed,hillrom_legacy_serial_parser,high,month,Decoded legacy Hillrom serial using leading month 10 and trailing year 1999.,openai_generated_model_type_map,high,Hillrom Century P1400 is a hospital bed variant.
Hillrom,CENTURYP1400,10L2591999,1999-10-01,Hospital Bed,hillrom_legacy_serial_parser,high,month,Decoded legacy Hillrom serial using leading month 10 and trailing year 1999.,openai_generated_model_type_map,high,Hillrom Century P1400 is a hospital bed variant.
Hillrom,CENTURYP1400,10L7571999,1999-10-01,Hospital Bed,hillrom_legacy_serial_parser,high,month,Decoded legacy Hillrom serial using leading month 10 and trailing year 1999.,openai_generated_model_type_map,high,Hillrom Century P1400 is a hospital bed variant.
Hillrom,CENTURYP1400,10L7531999,1999-10-01,Hospital Bed,hillrom_legacy_serial_parser,high,month,Decoded legacy Hillrom serial using leading month 10 and trailing year 1999.,openai_generated_model_type_map,high,Hillrom Century P1400 is a hospital bed variant.
Hillrom,CENTURYP1400,10L7541999,1999-10-01,Hospital Bed,hillrom_legacy_serial_parser,high,month,Decoded legacy Hillrom serial using leading month 10 and trailing year 1999.,openai_generated_model_type_map,high,Hillrom Century P1400 is a hospital bed variant.
Hillrom,CENTURY,10L9201999,1999-10-01,Hospital Bed,hillrom_legacy_serial_parser,high,month,Decoded legacy Hillrom serial using leading month 10 and trailing year 1999.,openai_generated_model_type_map,high,Hillrom Century is a hospital bed family.
ZOLL Medical,M SERIES,T03D45722,2003-04-01,Defibrillator,zoll_serial_parser,high,month,"Decoded ZOLL serial format after normalization: prefix=T, year=03, month=D.",openai_generated_model_type_map,high,ZOLL M Series is a defibrillator/monitor platform.
ZOLL Medical,M SERIES,T03G48599,2003-07-01,Defibrillator,zoll_serial_parser,high,month,"Decoded ZOLL serial format after normalization: prefix=T, year=03, month=G.",openai_generated_model_type_map,high,ZOLL M Series is a defibrillator/monitor platform.
ZOLL Medical,M SERIES,T04A54870,2004-01-01,Defibrillator,zoll_serial_parser,high,month,"Decoded ZOLL serial format after normalization: prefix=T, year=04, month=A.",openai_generated_model_type_map,high,ZOLL M Series is a defibrillator/monitor platform.
ZOLL Medical,M SERIES,T04D57875,2004-04-01,Defibrillator,zoll_serial_parser,high,month,"Decoded ZOLL serial format after normalization: prefix=T, year=04, month=D.",openai_generated_model_type_map,high,ZOLL M Series is a defibrillator/monitor platform.
ZOLL Medical,M SERIES,T04F60157,2004-06-01,Defibrillator,zoll_serial_parser,high,month,"Decoded ZOLL serial format after normalization: prefix=T, year=04, month=F.",openai_generated_model_type_map,high,ZOLL M Series is a defibrillator/monitor platform.
ZOLL Medical,M SERIES,T04G0718,2004-07-01,Defibrillator,zoll_serial_parser,high,month,"Decoded ZOLL serial format after normalization: prefix=T, year=04, month=G.",openai_generated_model_type_map,high,ZOLL M Series is a defibrillator/monitor platform.
ZOLL Medical,M SERIES,T04H61597,2004-08-01,Defibrillator,zoll_serial_parser,high,month,"Decoded ZOLL serial format after normalization: prefix=T, year=04, month=H.",openai_generated_model_type_map,high,ZOLL M Series is a defibrillator/monitor platform.
Welch Allyn,SPOT VITAL SIGNS,200810466,2008-01-01,Patient Monitor,welch_spot_year_parser,high,year,Decoded Welch Allyn Spot Vital Signs 9-digit serial format from the leading manufacture year 2008.,openai_generated_model_type_map,medium,Welch Allyn Spot Vital Signs captures multiple vital signs and is grouped under patient monitors rather than a single-function blood pressure device.
GE HEALTHCARE,APEX PRO CH,RT908362478GA,2008-01-01,Patient Monitor,ge_apex_year_parser,medium,year,Decoded GE Apex Pro CH serial family from the embedded year token 08.,openai_generated_model_type_map,high,GE Apex Pro CH is a patient monitoring/telemetry product.
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA308511468GR,2008-01-01,Patient Monitoring Module,ge_pdm_year_parser,medium,year,Decoded GE PDM serial family using year token 08.,openai_generated_model_type_map,high,GE Patient Data Module (PDM) is a monitoring module accessory.
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA309517777GR,2009-01-01,Patient Monitoring Module,ge_pdm_year_parser,medium,year,Decoded GE PDM serial family using year token 09.,openai_generated_model_type_map,high,GE Patient Data Module (PDM) is a monitoring module accessory.
ZOLL Medical,M SERIES,T09B109955,2009-02-01,Defibrillator,zoll_serial_parser,high,month,"Decoded ZOLL serial format after normalization: prefix=T, year=09, month=B.",openai_generated_model_type_map,high,ZOLL M Series is a defibrillator/monitor platform.
ZOLL Medical,M SERIES,T09B109792,2009-02-01,Defibrillator,zoll_serial_parser,high,month,"Decoded ZOLL serial format after normalization: prefix=T, year=09, month=B.",openai_generated_model_type_map,high,ZOLL M Series is a defibrillator/monitor platform.
ZOLL Medical,M SERIES,T09K116484,2009-11-01,Defibrillator,zoll_serial_parser,high,month,"Decoded ZOLL serial format after normalization: prefix=T, year=09, month=K.",openai_generated_model_type_map,high,ZOLL M Series is a defibrillator/monitor platform.
Welch Allyn,FILAC3000,A1051223,2010-01-01,Thermometer,welch_filac_year_parser,medium,year,Decoded FILAC 3000 serial family from the leading year token 10.,openai_generated_model_type_map,high,Welch Allyn SureTemp/Filac product lines are thermometers; FILAC 3000 is a thermometer.
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA310518384GR,2010-01-01,Patient Monitoring Module,ge_pdm_year_parser,medium,year,Decoded GE PDM serial family using year token 10.,openai_generated_model_type_map,high,GE Patient Data Module (PDM) is a monitoring module accessory.
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA310518261GR,2010-01-01,Patient Monitoring Module,ge_pdm_year_parser,medium,year,Decoded GE PDM serial family using year token 10.,openai_generated_model_type_map,high,GE Patient Data Module (PDM) is a monitoring module accessory.
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA310496411GR,2010-01-01,Patient Monitoring Module,ge_pdm_year_parser,medium,year,Decoded GE PDM serial family using year token 10.,openai_generated_model_type_map,high,GE Patient Data Module (PDM) is a monitoring module accessory.
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA310507316GR,2010-01-01,Patient Monitoring Module,ge_pdm_year_parser,medium,year,Decoded GE PDM serial family using year token 10.,openai_generated_model_type_map,high,GE Patient Data Module (PDM) is a monitoring module accessory.
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA310496410GR,2010-01-01,Patient Monitoring Module,ge_pdm_year_parser,medium,year,Decoded GE PDM serial family using year token 10.,openai_generated_model_type_map,high,GE Patient Data Module (PDM) is a monitoring module accessory.
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA310465295GR,2010-01-01,Patient Monitoring Module,ge_pdm_year_parser,medium,year,Decoded GE PDM serial family using year token 10.,openai_generated_model_type_map,high,GE Patient Data Module (PDM) is a monitoring module accessory.
ZOLL Medical,M SERIES,T10G121505,2010-07-01,Defibrillator,zoll_serial_parser,high,month,"Decoded ZOLL serial format after normalization: prefix=T, year=10, month=G.",openai_generated_model_type_map,high,ZOLL M Series is a defibrillator/monitor platform.
ZOLL Medical,Propaq Md,AI10L000824,2010-12-01,Patient Monitor,zoll_serial_parser,high,month,"Decoded ZOLL serial format after normalization: prefix=AI, year=10, month=L.",openai_generated_model_type_map,high,"ZOLL Propaq MD is a patient monitor with monitoring/defib capabilities, but the primary family is a patient monitor."
ZOLL Medical,Propaq Md,AI10L000796,2010-12-01,Patient Monitor,zoll_serial_parser,high,month,"Decoded ZOLL serial format after normalization: prefix=AI, year=10, month=L.",openai_generated_model_type_map,high,"ZOLL Propaq MD is a patient monitor with monitoring/defib capabilities, but the primary family is a patient monitor."
ZOLL Medical,Propaq Md,AI10L000816,2010-12-01,Patient Monitor,zoll_serial_parser,high,month,"Decoded ZOLL serial format after normalization: prefix=AI, year=10, month=L.",openai_generated_model_type_map,high,"ZOLL Propaq MD is a patient monitor with monitoring/defib capabilities, but the primary family is a patient monitor."
ZOLL Medical,Propaq Md,AI10L000819,2010-12-01,Patient Monitor,zoll_serial_parser,high,month,"Decoded ZOLL serial format after normalization: prefix=AI, year=10, month=L.",openai_generated_model_type_map,high,"ZOLL Propaq MD is a patient monitor with monitoring/defib capabilities, but the primary family is a patient monitor."
Welch Allyn,FILAC3000,A1155231X,2011-01-01,Thermometer,welch_filac_year_parser,medium,year,Decoded FILAC 3000 serial family from the leading year token 11.,openai_generated_model_type_map,high,Welch Allyn SureTemp/Filac product lines are thermometers; FILAC 3000 is a thermometer.
Welch Allyn,FILAC3000,A1156405,2011-01-01,Thermometer,welch_filac_year_parser,medium,year,Decoded FILAC 3000 serial family from the leading year token 11.,openai_generated_model_type_map,high,Welch Allyn SureTemp/Filac product lines are thermometers; FILAC 3000 is a thermometer.
Welch Allyn,FILAC3000,A1156388,2011-01-01,Thermometer,welch_filac_year_parser,medium,year,Decoded FILAC 3000 serial family from the leading year token 11.,openai_generated_model_type_map,high,Welch Allyn SureTemp/Filac product lines are thermometers; FILAC 3000 is a thermometer.
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA311069819GR,2011-01-01,Patient Monitoring Module,ge_pdm_year_parser,medium,year,Decoded GE PDM serial family using year token 11.,openai_generated_model_type_map,high,GE Patient Data Module (PDM) is a monitoring module accessory.
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA311184365GR,2011-01-01,Patient Monitoring Module,ge_pdm_year_parser,medium,year,Decoded GE PDM serial family using year token 11.,openai_generated_model_type_map,high,GE Patient Data Module (PDM) is a monitoring module accessory.
Edan Instruments,F9EXPRESS,560039-M11330014,2011-03-01,Fetal Monitor,edan_serial_parser,high,month,Decoded trailing Edan serial core M11330014 as year=11 and month_code=3.,openai_generated_model_type_map,high,Edan F9 Express is a fetal monitor.
ZOLL Medical,M SERIES,T11D124677,2011-04-01,Defibrillator,zoll_serial_parser,high,month,"Decoded ZOLL serial format after normalization: prefix=T, year=11, month=D.",openai_generated_model_type_map,high,ZOLL M Series is a defibrillator/monitor platform.
ZOLL Medical,Propaq Md,AI11F001156,2011-06-01,Patient Monitor,zoll_serial_parser,high,month,"Decoded ZOLL serial format after normalization: prefix=AI, year=11, month=F.",openai_generated_model_type_map,high,"ZOLL Propaq MD is a patient monitor with monitoring/defib capabilities, but the primary family is a patient monitor."
ZOLL Medical,R Series Plus,AF11L019703,2011-12-01,Defibrillator,zoll_serial_parser,high,month,"Decoded ZOLL serial format after normalization: prefix=AF, year=11, month=L.",openai_generated_model_type_map,high,ZOLL R Series Plus is a defibrillator/monitor platform.
Welch Allyn,FILAC3000,A1257682,2012-01-01,Thermometer,welch_filac_year_parser,medium,year,Decoded FILAC 3000 serial family from the leading year token 12.,openai_generated_model_type_map,high,Welch Allyn SureTemp/Filac product lines are thermometers; FILAC 3000 is a thermometer.
Welch Allyn,FILAC3000,A1262471,2012-01-01,Thermometer,welch_filac_year_parser,medium,year,Decoded FILAC 3000 serial family from the leading year token 12.,openai_generated_model_type_map,high,Welch Allyn SureTemp/Filac product lines are thermometers; FILAC 3000 is a thermometer.
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA312152525GA,2012-01-01,Patient Monitoring Module,ge_pdm_year_parser,medium,year,Decoded GE PDM serial family using year token 12.,openai_generated_model_type_map,high,GE Patient Data Module (PDM) is a monitoring module accessory.
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA312132106GR,2012-01-01,Patient Monitoring Module,ge_pdm_year_parser,medium,year,Decoded GE PDM serial family using year token 12.,openai_generated_model_type_map,high,GE Patient Data Module (PDM) is a monitoring module accessory.
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA312152311GR,2012-01-01,Patient Monitoring Module,ge_pdm_year_parser,medium,year,Decoded GE PDM serial family using year token 12.,openai_generated_model_type_map,high,GE Patient Data Module (PDM) is a monitoring module accessory.
ZOLL Medical,M SERIES,T12B127729,2012-02-01,Defibrillator,zoll_serial_parser,high,month,"Decoded ZOLL serial format after normalization: prefix=T, year=12, month=B.",openai_generated_model_type_map,high,ZOLL M Series is a defibrillator/monitor platform.
ZOLL Medical,M SERIES,T12B127735,2012-02-01,Defibrillator,zoll_serial_parser,high,month,"Decoded ZOLL serial format after normalization: prefix=T, year=12, month=B.",openai_generated_model_type_map,high,ZOLL M Series is a defibrillator/monitor platform.
Edan Instruments,SE1200EXPRESS,460016-M12900650018,2012-09-01,ECG Machine,edan_serial_parser,high,month,Decoded trailing Edan serial core M12900650018 as year=12 and month_code=9.,openai_generated_model_type_map,high,Edan SE-1200 Express is an ECG machine.
ZOLL Medical,M SERIES,T12L131022,2012-12-01,Defibrillator,zoll_serial_parser,high,month,"Decoded ZOLL serial format after normalization: prefix=T, year=12, month=L.",openai_generated_model_type_map,high,ZOLL M Series is a defibrillator/monitor platform.
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA313230274GR,2013-01-01,Patient Monitoring Module,ge_pdm_year_parser,medium,year,Decoded GE PDM serial family using year token 13.,openai_generated_model_type_map,high,GE Patient Data Module (PDM) is a monitoring module accessory.
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA3132300157GR,2013-01-01,Patient Monitoring Module,ge_pdm_year_parser,medium,year,Decoded GE PDM serial family using year token 13.,openai_generated_model_type_map,high,GE Patient Data Module (PDM) is a monitoring module accessory.
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA313230430GR,2013-01-01,Patient Monitoring Module,ge_pdm_year_parser,medium,year,Decoded GE PDM serial family using year token 13.,openai_generated_model_type_map,high,GE Patient Data Module (PDM) is a monitoring module accessory.
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA313230464GR,2013-01-01,Patient Monitoring Module,ge_pdm_year_parser,medium,year,Decoded GE PDM serial family using year token 13.,openai_generated_model_type_map,high,GE Patient Data Module (PDM) is a monitoring module accessory.
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA313230676GR,2013-01-01,Patient Monitoring Module,ge_pdm_year_parser,medium,year,Decoded GE PDM serial family using year token 13.,openai_generated_model_type_map,high,GE Patient Data Module (PDM) is a monitoring module accessory.
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA313219052GR,2013-01-01,Patient Monitoring Module,ge_pdm_year_parser,medium,year,Decoded GE PDM serial family using year token 13.,openai_generated_model_type_map,high,GE Patient Data Module (PDM) is a monitoring module accessory.
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA313230457GR,2013-01-01,Patient Monitoring Module,ge_pdm_year_parser,medium,year,Decoded GE PDM serial family using year token 13.,openai_generated_model_type_map,high,GE Patient Data Module (PDM) is a monitoring module accessory.
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA313230453GR,2013-01-01,Patient Monitoring Module,ge_pdm_year_parser,medium,year,Decoded GE PDM serial family using year token 13.,openai_generated_model_type_map,high,GE Patient Data Module (PDM) is a monitoring module accessory.
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA313106097GR,2013-01-01,Patient Monitoring Module,ge_pdm_year_parser,medium,year,Decoded GE PDM serial family using year token 13.,openai_generated_model_type_map,high,GE Patient Data Module (PDM) is a monitoring module accessory.
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA313127233GR,2013-01-01,Patient Monitoring Module,ge_pdm_year_parser,medium,year,Decoded GE PDM serial family using year token 13.,openai_generated_model_type_map,high,GE Patient Data Module (PDM) is a monitoring module accessory.
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA313230456GR,2013-01-01,Patient Monitoring Module,ge_pdm_year_parser,medium,year,Decoded GE PDM serial family using year token 13.,openai_generated_model_type_map,high,GE Patient Data Module (PDM) is a monitoring module accessory.
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA313230407GR,2013-01-01,Patient Monitoring Module,ge_pdm_year_parser,medium,year,Decoded GE PDM serial family using year token 13.,openai_generated_model_type_map,high,GE Patient Data Module (PDM) is a monitoring module accessory.
ZOLL Medical,M SERIES,3T13D131852,2013-04-01,Defibrillator,zoll_serial_parser,high,month,"Decoded ZOLL serial format after normalization: prefix=3T, year=13, month=D.",openai_generated_model_type_map,high,ZOLL M Series is a defibrillator/monitor platform.
ZOLL Medical,M SERIES,T13D131863,2013-04-01,Defibrillator,zoll_serial_parser,high,month,"Decoded ZOLL serial format after normalization: prefix=T, year=13, month=D.",openai_generated_model_type_map,high,ZOLL M Series is a defibrillator/monitor platform.
ZOLL Medical,M SERIES,T13D131879,2013-04-01,Defibrillator,zoll_serial_parser,high,month,"Decoded ZOLL serial format after normalization: prefix=T, year=13, month=D.",openai_generated_model_type_map,high,ZOLL M Series is a defibrillator/monitor platform.
ZOLL Medical,X Series,AR13L006530,2013-12-01,Defibrillator,zoll_serial_parser,high,month,"Decoded ZOLL serial format after normalization: prefix=AR, year=13, month=L.",openai_generated_model_type_map,high,ZOLL X Series is a defibrillator/monitor platform.
Edan Instruments,IM50,M14104900003,2014-01-01,Patient Monitor,edan_serial_parser,high,month,Decoded trailing Edan serial core M14104900003 as year=14 and month_code=1.,openai_generated_model_type_map,high,Edan iM50 is a patient monitor.
Edan Instruments,IM50,3331333-M14104900002,2014-01-01,Patient Monitor,edan_serial_parser,high,month,Decoded trailing Edan serial core M14104900002 as year=14 and month_code=1.,openai_generated_model_type_map,high,Edan iM50 is a patient monitor.
Edan Instruments,IM50,3331333-M14104900009,2014-01-01,Patient Monitor,edan_serial_parser,high,month,Decoded trailing Edan serial core M14104900009 as year=14 and month_code=1.,openai_generated_model_type_map,high,Edan iM50 is a patient monitor.
Welch Allyn,FILAC3000,A1451284X,2014-01-01,Thermometer,welch_filac_year_parser,medium,year,Decoded FILAC 3000 serial family from the leading year token 14.,openai_generated_model_type_map,high,Welch Allyn SureTemp/Filac product lines are thermometers; FILAC 3000 is a thermometer.
GE HEALTHCARE,APEX PRO CH,RTS14024388GA,2014-01-01,Patient Monitor,ge_apex_year_parser,medium,year,Decoded GE Apex Pro CH serial family from the embedded year token 14.,openai_generated_model_type_map,high,GE Apex Pro CH is a patient monitoring/telemetry product.
